ID	CD_PERIMETRO
350390105000001	3503901050000001
350390105000002	3503901050000002
350390105000003	3503901050000003
350390105000004	3503901050000004
350390105000005	3503901050000005
350390105000006	3503901050000006
350390105000007	3503901050000007
350390105000008	3503901050000008
350390105000009	3503901050000009
350390105000010	3503901050000010
350390105000011	3503901050000011
350390105000012	3503901050000012
350390105000013	3503901050000013
350390105000014	3503901050000014
350390105000015	3503901050000015
350390105000016	3503901050000016
350390105000017	3503901050000017
350390105000018	3503901050000018
350390105000019	3503901050000019
350390105000020	3503901050000020
350390105000021	3503901050000021
350390105000022	3503901050000022
350390105000023	3503901050000023
350390105000024	3503901050000024
350390105000025	3503901050000025
350390105000026	3503901050000026
350390105000027	3503901050000027
350390105000028	3503901050000028
350390105000029	3503901050000029
350390105000030	3503901050000030
350390105000031	3503901050000031
350390105000032	3503901050000032
350390105000033	3503901050000033
350390105000034	3503901050000034
350390105000035	3503901050000035
350390105000036	3503901050000036
350390105000037	3503901050000037
350390105000038	3503901050000038
350390105000039	3503901050000039
350390105000040	3503901050000040
350390105000041	3503901050000041
350390105000042	3503901050000042
350390105000043	3503901050000043
350390105000044	3503901050000044
350390105000045	3503901050000045
350390105000046	3503901050000046
350390105000047	3503901050000047
350390105000048	3503901050000048
350390105000049	3503901050000049
350390105000050	3503901050000050
350390105000051	3503901050000051
350390105000052	3503901050000052
350390105000053	3503901050000053
350390105000054	3503901050000054
350390105000055	3503901050000055
350390105000056	3503901050000056
350390105000057	3503901050000057
350390105000058	3503901050000058
350390105000059	3503901050000059
350390105000060	3503901050000060
350390105000061	3503901050000061
350390105000062	3503901050000062
350390105000063	3503901050000063
350390105000064	3503901050000064
350390105000065	3503901050000065
350390105000066	3503901050000066
350390105000067	3503901050000067
350390105000068	3503901050000068
350390105000069	3503901050000069
350390105000070	3503901050000070
350390105000071	3503901050000071
350390105000072	3503901050000072
350390105000073	3503901050000073
350390105000074	3503901050000074
350390105000075	3503901050000075
350390105000076	3503901050000076
350390105000077	3503901050000077
350390105000078	3503901050000078
350390105000079	3503901050000079
350390105000080	3503901050000080
350390105000081	3503901050000081
350390105000082	3503901050000082
350390105000083	3503901050000083
350390105000084	3503901050000084
350390105000085	3503901050000085
350390105000086	3503901050000086
350390105000087	3503901050000087
350390105000088	3503901050000088
350390105000089	3503901050000089
350390105000090	3503901050000090
350390105000091	3503901050000091
350390105000092	3503901050000092
350390105000093	3503901050000093
350570810000014	3505708100000001
350570810000015	3505708100000002
350570810000016	3505708100000003
350570810000017	3505708100000004
350570810000018	3505708100000005
350570810000019	3505708100000006
350570810000020	3505708100000007
350570810000021	3505708100000008
350570810000022	3505708100000009
350570810000023	3505708100000010
350570810000024	3505708100000011
350570810000025	3505708100000012
350570810000026	3505708100000013
350570805000001	3505708050000001
350570805000002	3505708050000002
350570805000003	3505708050000003
350570805000004	3505708050000004
350570805000005	3505708050000005
350570805000006	3505708050000006
350570805000007	3505708050000007
350570805000008	3505708050000008
350570805000009	3505708050000009
350570805000010	3505708050000010
350570805000011	3505708050000011
350570805000012	3505708050000012
350570805000013	3505708050000013
350570805000014	3505708050000014
350570805000015	3505708050000015
350570805000016	3505708050000016
350570805000096	3505708050000017
350570805000017	3505708050000017
350570805000018	3505708050000018
350570805000098	3505708050000018
350570805000019	3505708050000019
350570805000020	3505708050000020
350570805000021	3505708050000021
350570805000022	3505708050000022
350570805000023	3505708050000023
350570805000024	3505708050000024
350570805000025	3505708050000025
350570805000026	3505708050000026
350570805000027	3505708050000027
350570805000028	3505708050000028
350570805000029	3505708050000029
350570805000030	3505708050000030
350570805000031	3505708050000031
350570805000032	3505708050000032
350570805000033	3505708050000033
350570805000034	3505708050000034
350570805000035	3505708050000035
350570805000036	3505708050000036
350570805000037	3505708050000037
350570805000038	3505708050000038
350570805000039	3505708050000039
350570805000040	3505708050000040
350570805000041	3505708050000041
350570805000042	3505708050000042
350570805000043	3505708050000043
350570805000044	3505708050000044
350570805000045	3505708050000045
350570805000046	3505708050000046
350570805000047	3505708050000047
350570805000048	3505708050000048
350570805000049	3505708050000049
350570805000050	3505708050000050
350570805000051	3505708050000051
350570805000052	3505708050000052
350570805000053	3505708050000053
350570805000054	3505708050000054
350570805000055	3505708050000055
350570805000056	3505708050000056
350570805000057	3505708050000057
350570805000143	3505708050000057
350570805000058	3505708050000058
350570805000059	3505708050000059
350570805000060	3505708050000060
350570805000061	3505708050000061
350570805000062	3505708050000062
350570805000063	3505708050000063
350570805000064	3505708050000064
350570805000065	3505708050000065
350570805000066	3505708050000066
350570805000067	3505708050000067
350570805000068	3505708050000068
350570805000069	3505708050000069
350570805000070	3505708050000070
350570805000071	3505708050000071
350570805000072	3505708050000072
350570805000073	3505708050000073
350570805000074	3505708050000074
350570805000075	3505708050000075
350570805000076	3505708050000076
350570805000077	3505708050000077
350570805000078	3505708050000078
350570805000079	3505708050000079
350570805000080	3505708050000080
350570805000081	3505708050000081
350570805000082	3505708050000082
350570805000083	3505708050000083
350570805000084	3505708050000084
350570805000085	3505708050000085
350570805000086	3505708050000086
350570805000087	3505708050000087
350570805000088	3505708050000088
350570805000148	3505708050000088
350570805000089	3505708050000089
350570805000090	3505708050000090
350570805000091	3505708050000091
350570805000092	3505708050000092
350570805000093	3505708050000093
350570805000094	3505708050000094
350570805000095	3505708050000095
350570805000097	3505708050000096
350570805000099	3505708050000097
350570805000100	3505708050000098
350570805000101	3505708050000099
350570805000102	3505708050000100
350570805000103	3505708050000101
350570805000104	3505708050000102
350570805000105	3505708050000103
350570805000106	3505708050000104
350570805000107	3505708050000105
350570805000108	3505708050000106
350570805000109	3505708050000107
350570805000110	3505708050000108
350570805000111	3505708050000109
350570805000112	3505708050000110
350570805000113	3505708050000111
350570805000114	3505708050000112
350570805000115	3505708050000113
350570805000116	3505708050000114
350570805000117	3505708050000115
350570805000118	3505708050000116
350570805000119	3505708050000117
350570805000120	3505708050000118
350570805000121	3505708050000119
350570805000122	3505708050000120
350570805000123	3505708050000121
350570805000124	3505708050000122
350570805000125	3505708050000123
350570805000126	3505708050000124
350570805000127	3505708050000125
350570805000128	3505708050000126
350570805000129	3505708050000127
350570805000130	3505708050000128
350570805000131	3505708050000129
350570805000132	3505708050000130
350570805000133	3505708050000131
350570805000134	3505708050000132
350570805000135	3505708050000133
350570805000136	3505708050000134
350570805000137	3505708050000135
350570805000138	3505708050000136
350570805000139	3505708050000137
350570805000140	3505708050000138
350570805000141	3505708050000139
350570805000142	3505708050000140
350570805000144	3505708050000141
