ID	CD_PERIMETRO
23375	2300001
23369	2300001
23372	2300001
23374	2300001
23373	2300001
26334	2600001
36025	3600001
15275	1500001
15277	1500002
36019	3600002
36235	3600003
36110	3600004
36062	3600005
36037	3600006
13359	1300001
36247	3600007
36272	3600008
33240	3300001
36151	3600009
36224	3600010
36291	3600011
36096	3600012
36244	3600013
36092	3600014
15278	1500003
36234	3600015
05358	0500001
23371	2300002
02268	0200001
08181	0800001
36199	3600016
36036	3600017
36107	3600018
36084	3600019
16352	1600001
36068	3600020
36008	3600021
39388	3900001
36039	3600022
36045	3600023
36022	3600024
36150	3600025
32237	3200001
36127	3600026
36225	3600027
34105	3400001
28378	2800001
36078	3600028
24207	2400001
36196	3600029
15217	1500004
36184	3600030
36251	3600031
36118	3600032
36170	3600033
36227	3600034
36156	3600035
02269	0200002
36163	3600036
36081	3600037
33300	3300002
36103	3600038
36292	3600039
29377	2900001
36049	3600040
36056	3600041
21365	2100001
36040	3600042
36347	3600043
36032	3600044
36195	3600045
36154	3600046
36250	3600047
36382	3600048
09309	0900001
36089	3600049
26337	2600002
24206	2400002
07355	0700001
07312	0700002
36146	3600050
36188	3600051
36030	3600052
36253	3600053
24265	2400003
36183	3600054
11340	1100001
36121	3600055
36033	3600056
36080	3600057
36190	3600058
32380	3200002
36249	3600059
36048	3600060
36013	3600061
36070	3600062
06313	0600001
16353	1600002
05322	0500002
36028	3600063
36128	3600064
36293	3600065
31321	3100001
36182	3600066
36135	3600067
36066	3600068
36120	3600069
15158	1500005
15090	1500005
22297	2200001
07386	0700003
17389	1700001
36029	3600070
36016	3600071
36197	3600072
36141	3600073
36214	3600074
10383	1000001
36130	3600075
36095	3600076
36287	3600077
24204	2400004
36111	3600078
14370	1400001
36046	3600079
36192	3600080
36031	3600081
36009	3600082
36043	3600083
36132	3600084
36208	3600085
36189	3600086
36010	3600087
36175	3600088
36091	3600089
32177	3200003
36057	3600090
36006	3600091
36094	3600092
02320	0200003
36004	3600093
24203	2400005
36051	3600094
36063	3600095
36283	3600096
36296	3600097
36044	3600098
36073	3600099
36002	3600100
36020	3600101
11288	1100002
34102	3400002
36302	3600102
36171	3600103
36303	3600104
36279	3600105
36219	3600106
38261	3800001
33241	3300003
36126	3600107
02317	0200004
36233	3600108
36064	3600109
36083	3600110
36026	3600111
15157	1500006
36038	3600112
36147	3600113
03376	0300001
36079	3600114
36153	3600115
36198	3600116
27344	2700001
30368	3000001
30367	3000002
36282	3600117
36125	3600118
36201	3600119
04273	0400001
12360	1200001
12361	1200001
36187	3600120
36003	3600121
36124	3600122
36295	3600123
36209	3600124
37338	3700001
15216	1500007
33299	3300004
16351	1600003
36308	3600125
36164	3600126
11336	1100003
36087	3600127
36067	3600128
27343	2700002
36289	3600129
36172	3600130
36223	3600131
36085	3600132
36264	3600133
36231	3600134
36305	3600135
36270	3600136
36134	3600137
36119	3600138
36042	3600139
02319	0200005
36086	3600140
36160	3600141
36348	3600142
23333	2300003
36012	3600143
32179	3200004
36280	3600144
36023	3600145
36024	3600145
36114	3600146
36176	3600147
33381	3300005
09310	0900002
36256	3600148
36349	3600149
36052	3600150
36017	3600151
04324	0400002
36117	3600152
36065	3600153
36139	3600154
22342	2200002
24266	2400006
36108	3600155
36255	3600156
36059	3600157
36071	3600158
36221	3600159
19314	1900001
36301	3600160
36262	3600161
36215	3600162
36035	3600163
36069	3600164
36202	3600165
36077	3600166
18329	1800001
36099	3600167
36246	3600168
36142	3600169
36220	3600170
36212	3600171
36005	3600172
36162	3600173
32298	3200005
36116	3600174
22238	2200003
36050	3600175
13325	1300002
36060	3600176
36093	3600177
36173	3600178
12362	1200002
36155	3600179
36104	3600180
36129	3600181
36088	3600182
36001	3600183
36263	3600184
27345	2700003
36286	3600185
36007	3600186
36281	3600187
36113	3600188
36222	3600189
36015	3600190
36186	3600191
36149	3600192
36213	3600192
36075	3600193
36193	3600194
19318	1900002
36229	3600195
37341	3700002
36054	3600196
36211	3600197
36076	3600198
36307	3600199
21326	2100002
38260	3800002
36145	3600200
36200	3600201
36115	3600202
36106	3600203
36041	3600204
10350	1000002
36169	3600205
01327	0100001
36285	3600206
02315	0200006
28379	2800002
24205	2400007
07354	0700004
36159	3600207
36252	3600208
36101	3600209
36058	3600210
36122	3600211
36210	3600212
36144	3600213
01328	0100002
36174	3600214
36055	3600215
36194	3600216
21364	2100003
36136	3600217
36271	3600218
36112	3600219
36137	3600220
36161	3600221
36034	3600222
36236	3600223
33346	3300006
34178	3400003
36258	3600224
36047	3600225
36109	3600226
36100	3600227
36082	3600228
36133	3600229
36230	3600230
36257	3600231
36290	3600232
36027	3600233
36053	3600234
01330	0100003
36131	3600235
36165	3600236
36245	3600237
36074	3600238
07387	0700005
36152	3600239
36143	3600240
08242	0800002
36232	3600241
13363	1300003
08243	0800003
19316	1900003
15276	1500008
37335	3700003
15366	1500009
36254	3600242
35384	3500001
36284	3600243
06267	0600002
36014	3600244
36226	3600245
18332	1800002
36304	3600246
36248	3600247
18331	1800003
36167	3600248
32239	3200006
09311	0900003
36021	3600249
36097	3600250
23339	2300004
36098	3600251
36148	3600252
36140	3600253
36191	3600254
36011	3600255
36168	3600256
04323	0400003
36306	3600257
25357	2500001
36294	3600258
36018	3600259
36061	3600260
33180	3300007
36138	3600261
21274	2100004
36259	3600262
17356	1700002
36228	3600263
36166	3600264
36218	3600265
36123	3600266
36072	3600267
36185	3600268
20385	2000001
