ID	CD_PERIMETRO
350390105000170	3503901050000001
350390105000169	3503901050000001
350390105000002	3503901050000002
350390105000003	3503901050000003
350390105000004	3503901050000004
350390105000005	3503901050000005
350390105000006	3503901050000006
350390105000007	3503901050000007
350390105000123	3503901050000008
350390105000133	3503901050000008
350390105000163	3503901050000008
350390105000103	3503901050000009
350390105000104	3503901050000009
350390105000105	3503901050000010
350390105000106	3503901050000010
350390105000109	3503901050000011
350390105000107	3503901050000011
350390105000108	3503901050000011
350390105000012	3503901050000012
350390105000110	3503901050000013
350390105000111	3503901050000013
350390105000014	3503901050000014
350390105000173	3503901050000015
350390105000172	3503901050000015
350390105000171	3503901050000015
350390105000164	3503901050000016
350390105000134	3503901050000016
350390105000135	3503901050000016
350390105000114	3503901050000017
350390105000113	3503901050000017
350390105000112	3503901050000017
350390105000136	3503901050000018
350390105000137	3503901050000018
350390105000019	3503901050000019
350390105000020	3503901050000020
350390105000021	3503901050000021
350390105000022	3503901050000022
350390105000023	3503901050000023
350390105000139	3503901050000024
350390105000138	3503901050000024
350390105000141	3503901050000025
350390105000140	3503901050000025
350390105000026	3503901050000026
350390105000143	3503901050000027
350390105000116	3503901050000027
350390105000142	3503901050000027
350390105000096	3503901050000028
350390105000131	3503901050000028
350390105000175	3503901050000028
350390105000095	3503901050000028
350390105000130	3503901050000028
350390105000174	3503901050000028
350390105000205	3503901050000029
350390105000206	3503901050000029
350390105000029	3503901050000029
350390105000166	3503901050000030
350390105000165	3503901050000030
350390105000145	3503901050000031
350390105000144	3503901050000031
350390105000146	3503901050000032
350390105000148	3503901050000032
350390105000147	3503901050000032
350390105000208	3503901050000033
350390105000209	3503901050000033
350390105000210	3503901050000033
350390105000211	3503901050000033
350390105000117	3503901050000033
350390105000212	3503901050000033
350390105000168	3503901050000034
350390105000167	3503901050000034
350390105000099	3503901050000034
350390105000177	3503901050000035
350390105000176	3503901050000035
350390105000149	3503901050000036
350390105000150	3503901050000036
350390105000037	3503901050000037
350390105000179	3503901050000038
350390105000178	3503901050000038
350390105000039	3503901050000039
350390105000040	3503901050000040
350390105000041	3503901050000041
350390105000042	3503901050000042
350390105000043	3503901050000043
350390105000044	3503901050000044
350390105000119	3503901050000045
350390105000120	3503901050000045
350390105000132	3503901050000046
350390105000118	3503901050000046
350390105000047	3503901050000047
350390105000152	3503901050000048
350390105000151	3503901050000048
350390105000180	3503901050000049
350390105000181	3503901050000049
350390105000050	3503901050000050
350390105000153	3503901050000051
350390105000154	3503901050000051
