ID	CD_MCA
020021503	0200399
020021504	0200400
020021505	0200401
020021506	0200402
020021507	0200403
020021508	0200404
020021601	0200405
020021602	0200406
020021603	0200407
020021604	0200408
020021605	0200409
020021606	0200410
020021607	0200411
020021608	0200412
020021701	0200413
020021702	0200414
020021703	0200415
020021704	0200416
020021705	0200417
020021706	0200418
020021707	0200419
020021708	0200420
020021709	0200421
020021801	0200422
020021802	0200423
020021803	0200424
020021804	0200425
020021805	0200426
020021806	0200427
020021807	0200428
020021808	0200429
020021901	0200430
020021902	0200431
020021903	0200432
020021904	0200433
020021905	0200434
020021906	0200435
020021907	0200436
020021908	0200437
020022001	0200438
020022002	0200439
020022003	0200440
020022004	0200441
020022005	0200442
020022006	0200443
020022007	0200444
020022008	0200445
020022101	0200446
020022102	0200447
020022103	0200448
020022104	0200449
020022105	0200450
020022106	0200451
020022201	0200452
020022202	0200453
020022203	0200454
020022204	0200455
020022205	0200456
020022206	0200457
020022301	0200458
020022302	0200459
020022303	0200460
020022304	0200461
020022305	0200462
020022306	0200463
020022307	0200464
020022308	0200465
020022309	0200466
020022401	0200467
020022402	0200468
020022403	0200469
020022404	0200470
020022405	0200471
020022406	0200472
020022501	0200473
020022502	0200474
020022503	0200475
020022504	0200476
020022505	0200477
020022506	0200478
020022507	0200479
020022508	0200480
020022509	0200481
020022510	0200482
020022511	0200483
020030101	0200484
020030102	0200485
020030103	0200486
020030104	0200487
020030105	0200488
020030106	0200489
020030107	0200490
020030108	0200491
020030109	0200492
020030110	0200493
020030111	0200494
020030201	0200495
020030202	0200496
020030203	0200497
020030204	0200498
020030205	0200499
020030206	0200500
020030207	0200501
020030208	0200502
020030209	0200503
020030210	0200504
020030211	0200505
020030212	0200506
020030301	0200507
020030302	0200508
020030303	0200509
020030304	0200510
020030305	0200511
020030306	0200512
020030307	0200513
020030308	0200514
020030309	0200515
020030310	0200516
020030311	0200517
020030401	0200518
020030402	0200519
020030403	0200520
020030404	0200521
020030405	0200522
020030406	0200523
020030407	0200524
020030408	0200525
020030501	0200526
020030502	0200527
020030503	0200528
020030504	0200529
020030505	0200530
020030506	0200531
020030507	0200532
020030601	0200533
020030602	0200534
020030603	0200535
020030604	0200536
020030605	0200537
020030606	0200538
020030607	0200539
020030701	0200540
020030702	0200541
020030703	0200542
020030704	0200543
020030705	0200544
020030706	0200545
020030707	0200546
020030708	0200547
020030709	0200548
020030801	0200549
020030802	0200550
020030803	0200551
020030804	0200552
020030805	0200553
020030806	0200554
020030807	0200555
020030808	0200556
020030809	0200557
020030810	0200558
020030901	0200559
020030902	0200560
020030903	0200561
020030904	0200562
020030905	0200563
020030906	0200564
020030907	0200565
020030908	0200566
020030909	0200567
020030910	0200568
020031001	0200569
020031002	0200570
020031003	0200571
020031004	0200572
020031005	0200573
020031006	0200574
020031007	0200575
020031008	0200576
020031101	0200577
020031102	0200578
020031103	0200579
020031104	0200580
020031105	0200581
020031106	0200582
020031107	0200583
020031108	0200584
020031201	0200585
020031202	0200586
020031203	0200587
020031204	0200588
020031205	0200589
020031206	0200590
020031207	0200591
