ID	CD_MCA
260005405000001	2600054050000001
260005405000002	2600054050000002
260005405000003	2600054050000003
260005405000004	2600054050000004
260005405000005	2600054050000005
260005405000006	2600054050000006
260005405000007	2600054050000007
260005405000008	2600054050000008
260005405000077	2600054050000008
260005405000076	2600054050000008
260005405000009	2600054050000009
260005405000010	2600054050000010
260005405000011	2600054050000011
260005405000012	2600054050000012
260005405000013	2600054050000013
260005405000014	2600054050000014
260005405000015	2600054050000015
260005405000016	2600054050000016
260005405000017	2600054050000017
260005405000018	2600054050000018
260005405000019	2600054050000019
260005405000020	2600054050000020
260005405000021	2600054050000021
260005405000022	2600054050000022
260005405000023	2600054050000023
260005405000024	2600054050000024
260005405000025	2600054050000025
260005405000062	2600054050000026
260005405000061	2600054050000026
260005405000026	2600054050000026
260005405000027	2600054050000027
260005405000028	2600054050000028
260005405000029	2600054050000029
260005405000030	2600054050000030
260005405000031	2600054050000031
260005405000032	2600054050000032
260005405000033	2600054050000033
260005405000034	2600054050000034
260005405000035	2600054050000035
260005405000036	2600054050000036
260005405000037	2600054050000037
260005405000038	2600054050000038
260005405000039	2600054050000039
260005405000040	2600054050000040
260005405000041	2600054050000041
260005405000042	2600054050000042
260005405000044	2600054050000042
260005405000072	2600054050000042
260005405000043	2600054050000043
260005405000045	2600054050000044
260005405000046	2600054050000045
260005405000047	2600054050000046
260005405000048	2600054050000047
260005405000049	2600054050000048
260005405000050	2600054050000049
260005405000051	2600054050000050
260005405000052	2600054050000051
260005405000053	2600054050000052
260005405000054	2600054050000053
260005405000055	2600054050000054
260005405000056	2600054050000055
260005405000057	2600054050000056
260005405000058	2600054050000057
260005405000059	2600054050000058
260005405000060	2600054050000059
260005405000063	2600054050000060
260005405000064	2600054050000061
260005405000065	2600054050000062
260005405000066	2600054050000063
260005405000067	2600054050000064
260005405000068	2600054050000065
260005405000069	2600054050000066
260005405000070	2600054050000067
260005405000071	2600054050000068
260005405000073	2600054050000069
260005405000074	2600054050000070
260005405000075	2600054050000071
260005405000079	2600054050000072
260005405000084	2600054050000072
260005405000085	2600054050000072
260005405000083	2600054050000072
260005405000080	2600054050000072
260005405000081	2600054050000072
260005405000097	2600054050000072
260005405000078	2600054050000072
260005405000082	2600054050000073
260005405000086	2600054050000074
260005405000087	2600054050000075
260005405000088	2600054050000076
260005405000089	2600054050000077
260005405000090	2600054050000078
260005405000091	2600054050000079
260005405000092	2600054050000080
260005405000093	2600054050000081
260005405000094	2600054050000082
260005405000095	2600054050000083
260005405000096	2600054050000084
260005405000098	2600054050000085
260005405000099	2600054050000086
260005405000100	2600054050000087
260005405000101	2600054050000088
260005405000102	2600054050000089
260005405000103	2600054050000090
260005405000104	2600054050000091
260005405000105	2600054050000092
260005405000106	2600054050000093
260005405000107	2600054050000094
260005405000108	2600054050000095
260005405000109	2600054050000096
260005405000110	2600054050000097
260005405000111	2600054050000098
260005405000112	2600054050000099
260005405000113	2600054050000100
260005410000001	2600054100000001
260105205000001	2601052050000001
260105205000002	2601052050000002
260105205000003	2601052050000003
260105205000004	2601052050000004
260105205000005	2601052050000005
260105205000006	2601052050000006
260105205000007	2601052050000007
260105205000008	2601052050000008
260105205000009	2601052050000009
260105205000010	2601052050000010
260105205000011	2601052050000011
260105205000012	2601052050000012
260105205000013	2601052050000013
260105205000014	2601052050000014
260105205000015	2601052050000015
260105205000016	2601052050000016
260105205000017	2601052050000017
260105205000018	2601052050000018
260105205000019	2601052050000019
260105205000020	2601052050000020
260105205000021	2601052050000021
260290205000030	2602902050000001
260290205000031	2602902050000002
260290205000032	2602902050000003
260290205000033	2602902050000004
260290205000034	2602902050000005
260290205000035	2602902050000006
260290205000036	2602902050000007
260290205000037	2602902050000008
260290205000038	2602902050000009
260290205000143	2602902050000010
260290205000049	2602902050000010
260290205000057	2602902050000010
260290205000074	2602902050000010
260290205000067	2602902050000010
260290205000043	2602902050000010
260290205000145	2602902050000010
260290205000029	2602902050000010
260290205000148	2602902050000010
260290205000070	2602902050000010
260290205000144	2602902050000010
260290205000039	2602902050000010
260290205000106	2602902050000010
260290205000114	2602902050000010
260290205000117	2602902050000010
260290205000105	2602902050000010
260290205000075	2602902050000010
260290205000077	2602902050000010
260290205000107	2602902050000010
260290205000073	2602902050000010
260290205000072	2602902050000010
260290205000147	2602902050000010
260290205000159	2602902050000010
260290205000080	2602902050000010
260290205000044	2602902050000010
260290205000140	2602902050000010
260290205000120	2602902050000010
260290205000146	2602902050000010
260290205000079	2602902050000010
260290205000040	2602902050000011
260290205000131	2602902050000012
260290205000132	2602902050000013
260290205000133	2602902050000014
260290205000134	2602902050000015
260290205000135	2602902050000016
260290205000136	2602902050000017
260290205000137	2602902050000018
260290205000138	2602902050000019
260290205000139	2602902050000020
260290205000141	2602902050000021
260290205000001	2602902050000022
260290205000002	2602902050000023
260290205000003	2602902050000024
260290205000004	2602902050000025
260290205000005	2602902050000026
260290205000006	2602902050000027
260290205000007	2602902050000028
