ID	CD_MCA
15344	1500001
23366	2300001
36011	3600001
36204	3600002
36010	3600003
36206	3600004
36133	3600005
36085	3600006
36279	3600007
02424	0200001
27397	2700001
36195	3600008
36260	3600009
33405	3300001
36037	3600010
22395	2200001
36202	3600011
36181	3600012
36187	3600013
36177	3600014
36290	3600015
36025	3600016
36248	3600017
36065	3600018
37363	3700001
19450	1900001
37362	3700002
36104	3600019
36103	3600020
33407	3300002
36239	3600021
36026	3600022
36186	3600023
36102	3600024
09413	0900001
36224	3600025
38411	3800001
36167	3600026
38412	3800002
36038	3600027
36078	3600028
36109	3600029
36018	3600030
12331	1200001
36141	3600031
36223	3600032
36013	3600033
36055	3600034
07455	0700001
36148	3600035
36184	3600036
36024	3600037
01349	0100001
31459	3100001
36222	3600038
36215	3600039
36163	3600040
36317	3600041
15345	1500002
37365	3700003
36007	3600042
13328	1300001
36049	3600043
03376	0300001
07453	0700002
36156	3600044
36205	3600045
36243	3600046
36046	3600047
36261	3600048
06432	0600001
24440	2400001
36262	3600049
33406	3300003
36274	3600050
24438	2400002
36178	3600051
36267	3600052
36171	3600053
36120	3600054
36063	3600055
36124	3600056
15338	1500003
36027	3600057
36216	3600058
24441	2400003
15336	1500004
36234	3600059
17458	1700001
36077	3600060
36219	3600061
36118	3600062
16417	1600001
36196	3600063
22393	2200002
36040	3600064
36139	3600065
27396	2700002
36266	3600066
36302	3600067
36008	3600068
36153	3600069
36264	3600070
36028	3600071
32387	3200001
36182	3600072
26358	2600001
33404	3300004
28399	2800001
36170	3600073
33403	3300005
23371	2300002
36201	3600074
24443	2400004
36137	3600075
21333	2100001
36096	3600076
12330	1200002
36282	3600077
06435	0600002
36270	3600078
36188	3600079
36048	3600080
36043	3600081
36236	3600082
09414	0900002
36191	3600083
36288	3600084
36226	3600085
36125	3600086
36149	3600087
36203	3600088
32384	3200002
24442	2400005
24437	2400006
36294	3600089
23375	2300003
36005	3600090
36107	3600091
36138	3600092
36036	3600093
36058	3600094
36176	3600095
07451	0700003
36056	3600096
36069	3600097
36169	3600098
36257	3600099
36050	3600100
15337	1500005
39456	3900001
36245	3600101
36114	3600102
18361	1800001
36291	3600103
36229	3600104
37364	3700004
32391	3200003
36305	3600105
02428	0200002
36126	3600106
23369	2300004
36183	3600107
36095	3600108
36292	3600109
36070	3600110
36084	3600111
36287	3600112
23370	2300005
24445	2400007
36162	3600113
36247	3600114
10422	1000001
36054	3600115
15339	1500006
36297	3600116
36227	3600117
02429	0200003
36174	3600118
20423	2000001
22394	2200003
36113	3600119
36208	3600120
36242	3600121
36072	3600122
36101	3600123
36275	3600124
36021	3600125
32383	3200004
32390	3200005
36111	3600126
36092	3600127
36009	3600128
04323	0400001
36311	3600129
36047	3600130
36298	3600131
16418	1600002
36238	3600132
36071	3600133
36015	3600134
36147	3600135
16416	1600003
36127	3600136
36016	3600137
36146	3600138
36033	3600139
36192	3600140
36296	3600141
36131	3600142
36315	3600143
02427	0200004
13326	1300002
36165	3600144
36310	3600145
32389	3200006
36320	3600146
36199	3600147
36121	3600148
36035	3600149
36306	3600150
36110	3600151
36193	3600152
36172	3600153
36173	3600153
36271	3600154
36106	3600155
08409	0800001
36039	3600156
02426	0200005
34379	3400001
36214	3600157
30352	3000001
36168	3600158
36115	3600159
36252	3600160
07452	0700004
36251	3600161
36210	3600162
36211	3600163
33402	3300006
36067	3600164
24436	2400008
36303	3600165
36154	3600166
11356	1100001
36244	3600167
36218	3600168
34381	3400002
36155	3600169
36082	3600170
36135	3600171
36089	3600172
06434	0600003
13327	1300003
36164	3600173
36309	3600174
36066	3600175
36116	3600176
36094	3600177
36246	3600178
36241	3600179
33401	3300007
27398	2700003
24447	2400009
36259	3600180
05324	0500001
10420	1000002
32385	3200007
36097	3600181
36221	3600182
36255	3600183
36042	3600184
36285	3600185
36006	3600186
36128	3600187
36017	3600188
01351	0100002
23372	2300006
36145	3600189
36004	3600190
36140	3600191
36250	3600192
30353	3000002
36253	3600193
36230	3600194
36269	3600195
15342	1500007
36316	3600196
36012	3600197
36023	3600198
36136	3600199
36198	3600200
36175	3600201
09415	0900003
36273	3600202
36132	3600203
36019	3600204
36289	3600205
36283	3600206
36081	3600207
36119	3600208
01350	0100003
23374	2300007
36088	3600209
36228	3600210
36194	3600211
36189	3600212
02431	0200006
36029	3600213
36185	3600214
36064	3600215
36295	3600216
36144	3600217
29377	2900001
36152	3600218
36044	3600219
36022	3600220
36123	3600221
17457	1700002
36002	3600222
22392	2200004
36180	3600223
36083	3600224
15347	1500008
36001	3600225
36284	3600226
36057	3600227
36032	3600228
36150	3600229
36031	3600230
23373	2300008
36200	3600231
36179	3600232
36225	3600233
36158	3600234
21332	2100002
36093	3600235
36099	3600236
36268	3600237
36232	3600238
36061	3600239
18360	1800002
36157	3600240
36075	3600241
26357	2600002
36212	3600242
36280	3600243
36278	3600244
04322	0400002
28400	2800002
34382	3400003
24439	2400010
11355	1100002
36062	3600245
36087	3600246
36134	3600247
04321	0400003
36090	3600248
36076	3600249
36318	3600250
36052	3600251
36293	3600252
36151	3600253
15340	1500009
14378	1400001
25460	2500001
36197	3600254
36272	3600255
36299	3600256
36059	3600257
36240	3600258
36100	3600259
36258	3600260
36235	3600261
15348	1500010
36277	3600262
36014	3600263
36209	3600264
36237	3600265
36263	3600266
36003	3600267
36304	3600268
06433	0600004
02425	0200007
12329	1200003
36080	3600269
36079	3600270
15343	1500011
36207	3600271
36051	3600272
36301	3600273
32388	3200008
36160	3600274
19448	1900002
36105	3600275
36108	3600276
36020	3600277
36312	3600278
15341	1500012
36256	3600279
36286	3600280
36190	3600281
24444	2400011
36220	3600282
11354	1100003
36319	3600283
36300	3600284
36254	3600285
19449	1900003
36034	3600286
05325	0500002
23367	2300009
36086	3600287
36122	3600288
36231	3600289
18359	1800003
36308	3600290
36117	3600291
36313	3600292
36307	3600293
36098	3600294
36233	3600295
36142	3600296
36281	3600297
36213	3600298
36143	3600299
36041	3600300
36053	3600301
36314	3600302
21334	2100003
36161	3600303
36045	3600304
36030	3600305
34380	3400004
32386	3200009
08410	0800002
36249	3600306
35419	3500001
07454	0700005
36073	3600307
36068	3600308
36166	3600309
36276	3600310
08408	0800003
10421	1000003
15346	1500013
36091	3600311
36265	3600312
23368	2300010
36060	3600313
36129	3600314
36130	3600315
36159	3600316
24446	2400012
36112	3600317
21335	2100004
02430	0200008
36217	3600318
36074	3600319
